Item;Quantity; Price (USD) ;Link; Price (ZAR) 
Power supply 12v 17A;1; $18,54 ;https://www.temu.com/za/ac220v-to-5v12v-high-power-switching-power-supply-step-down-module-built-in-board-1a2a3a5a8a13a17a-g-601099697551382.html?_oak_mp_inf=EJbwye%2Bm1ogBGiA5ZDIwNjlhMTM4ZTA0MmNiYTE2ZjgxYjQyMmI2M2M4NSDrtbG1vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F3b08512c-2ab0-49db-9c81-b50b9eeb98bd.jpg&spec_gallery_id=15098&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NzIwMA&_oak_gallery_order=274776681%2C1976441036%2C1066631624%2C207663685%2C1651439338&search_key=ac220v%20to%2012v%2017a%20power%20supply&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768832332061_e7i4orpw8t&_x_sessn_id=7jf87hv19j; R304,00 
TB6600 stepper driver;6; $40,26 ;https://www.temu.com/za/tb6600--version--stepper--with-32-bit-dsp-4-0a-output-current-42vdc-voltage-for-cnc-machines-industrial--robotics--with--overcurrent-protection-compatible-with-42-57-86-steppers-cnc-machine-control-reliable--ports-durable-electronic-component-g-601101558722204.html?_oak_mp_inf=EJzdhuet1ogBGiAxN2VmZmY4ZGJjMzE0MGM4OTVlZWE4MDY5YzRlNTAyYSC%2Bnra1vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F601d81e4-b1e7-43db-a249-c8cd321f96ba.jpg&spec_gallery_id=217042&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTEwMDA&_oak_gallery_order=1469409781%2C1005808920%2C30201827%2C1505392251&search_key=TB6600&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768832332061_e7i4orpw8t&_x_sessn_id=7jf87hv19j; R660,00 
Male+Female 5pcs DC connector;1; $2,14 ;https://www.temu.com/za/heavy-duty--power-connector-adapter-5-5x2-1mm-female-jack-with--compatible-with-cctv-led-strip-for-professional-durable--wiring-connector-cctv-power-supply--reliable-connection-home--g-601103294777750.html?_oak_mp_inf=EJaT76K01ogBGiA3OGRkZTIyZmJkMDA0Njk5OGVlNTZlZTdjNzQxMDYyYyCQx7q1vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Feaaf7f77-b3aa-4b0b-9116-de85c9061856.jpg&spec_gallery_id=20267022114&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MzgwMA&_oak_gallery_order=1551303925%2C1643705234%2C409790346%2C497431997%2C1744156103&search_key=male%20female%20dc%20power%20connector&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768832332061_e7i4orpw8t&_x_sessn_id=7jf87hv19j; R35,00 
Arduino Mega;1; $17,93 ;https://www.temu.com/za/1pc-of--r3-compatible-2560-16au--2560-r3--board-along-with-wires-g-601100663234360.html?_oak_mp_inf=ELi%2Bhryq1ogBGiAzNjQ1OTQ0MDM4MWE0MTIzYjZiODFlY2FjNjFkNjIxMSDr38C1vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2F20237f2ade%2F3625e37f-d6de-45f4-8294-bf1f7c3fe72e_800x800.png&spec_gallery_id=277111&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MzM1MDA&_oak_gallery_order=1102068648%2C1473769914%2C1468637658%2C767557856%2C762223527&search_key=arduino%20mega&refer_page_el_sn=200049&ab_scene=1&preload_js=2&_x_sessn_id=7jf87hv19j&refer_page_name=search_result&refer_page_id=10009_1768833434634_l82upmwbny; R294,00 
14AWG wire 5m black+red;1; $10,49 ;https://www.temu.com/goods.html?_bg_fs=1&goods_id=601102161836855&sku_id=17603323743473&_oak_page_source=501&_x_sessn_id=7jf87hv19j&refer_page_name=shopping_cart&refer_page_id=10037_1768833637319_hwerywr1ke&refer_page_sn=10037; R172,00 
20AWG wire 5m black+red;1; $4,39 ;https://www.temu.com/goods.html?_bg_fs=1&goods_id=601102161836855&sku_id=17603323743473&_oak_page_source=501&_x_sessn_id=7jf87hv19j&refer_page_name=shopping_cart&refer_page_id=10037_1768833637319_hwerywr1ke&refer_page_sn=10037; R72,00 
Import tax fees (South Africa);1; $24,40 ;; R400,00 
KW12-3 MicroSwitch 10pcs;1; $4,51 ;https://www.temu.com/za/10pcs-kw12-3-heavy-duty-micro-limit-switch--toggle-switch-with-1no-1nc-precision-positioning-for-cnc-machines-robotics-industrial--panel-mount-no-internal-electronics--10pcs-value-robotic-components--reliable-mechanism-robotics-engineers-g-601102228022959.html?_oak_mp_inf=EK%2FNmaaw1ogBGiA4NjNmYWQ0OGUwNDE0ZmRmYmI2NmMzNTE2NDkwZDMyZCD%2Byeu8vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F18aee313-6406-4609-9997-2407c6a8755e.jpg&spec_gallery_id=341647&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NzQwMA&_oak_gallery_order=1125361586%2C706110987%2C923680058%2C779315913%2C667809801&search_key=microswitch&refer_page_el_sn=200049&ab_scene=1&preload_js=2&_x_sessn_id=o927v64aow&refer_page_name=search_result&refer_page_id=10009_1768848811979_bf3sj236dn; R74,00 
;;;;
;Total:; $280,90 ;; R4 604,96 
